[INFO][2020-10-29 15:20:28,642][java.lang.Class]开始时间：1603956028642
[INFO][2020-11-09 13:27:55,699][java.lang.Class]xw-开始时间：1604899675698
[INFO][2020-11-09 13:37:17,190][java.lang.Class]xw-结束时间：561492
[INFO][2020-11-09 13:41:47,200][java.lang.Class]ch-开始时间：1604900507199
[INFO][2020-11-09 13:46:39,613][java.lang.Class]xw-开始时间：1604900799612
[INFO][2020-11-09 13:52:50,683][java.lang.Class]ch-开始时间：1604901170683
[INFO][2020-11-09 14:06:35,899][java.lang.Class]xw-开始时间：1604901995899
[INFO][2020-11-09 14:26:41,510][java.lang.Class]ch-开始时间：1604903201510
[INFO][2020-11-09 14:29:11,366][java.lang.Class]ch-开始时间：1604903351366
[INFO][2020-11-09 14:29:12,258][java.lang.Class]ch-时间：1604903352258
[INFO][2020-11-09 14:30:48,087][java.lang.Class]ch-时间：1604903448087
[INFO][2020-11-09 14:33:00,170][java.lang.Class]ch-时间：1604903580170
[INFO][2020-11-09 14:35:23,382][java.lang.Class]ch-时间：1604903723382
[INFO][2020-11-09 14:37:10,981][java.lang.Class]ch-时间：1604903830981
[INFO][2020-11-09 14:39:23,516][java.lang.Class]ch-时间：1604903963516
[INFO][2020-11-09 14:40:28,008][java.lang.Class]ch-时间：1604904028008
[INFO][2020-11-09 14:42:30,037][java.lang.Class]ch-开始时间：1604904150036
[INFO][2020-11-09 14:42:30,823][java.lang.Class]ch-时间：1604904150823
[INFO][2020-11-09 14:44:05,124][java.lang.Class]ch-时间：1604904245124
[INFO][2020-11-09 14:45:48,120][java.lang.Class]ch-时间：1604904348120
[INFO][2020-11-09 14:47:02,084][java.lang.Class]ch-时间：1604904422083
[INFO][2020-11-09 14:48:05,769][java.lang.Class]ch-时间：1604904485769
[INFO][2020-11-09 14:49:25,735][java.lang.Class]ch-时间：1604904565735
[INFO][2020-11-09 14:50:08,998][java.lang.Class]ch-时间：1604904608998
[INFO][2020-11-09 14:50:37,488][java.lang.Class]ch-时间：1604904637488
[INFO][2020-11-09 14:51:10,497][java.lang.Class]ch-时间：1604904670497
[INFO][2020-11-09 14:51:52,445][java.lang.Class]ch-时间：1604904712445
[INFO][2020-11-09 14:54:05,846][java.lang.Class]ch-时间：1604904845846
[INFO][2020-11-09 14:56:04,231][java.lang.Class]ch-时间：1604904964231
[INFO][2020-11-09 14:58:01,223][java.lang.Class]ch-时间：1604905081223
[INFO][2020-11-09 14:59:09,953][java.lang.Class]ch-时间：1604905149953
[INFO][2020-11-09 15:02:40,093][java.lang.Class]ch-开始时间：1604905360093
[INFO][2020-11-09 15:02:40,906][java.lang.Class]ch-时间：1604905360906
[INFO][2020-11-09 15:04:15,750][java.lang.Class]ch-时间：1604905455750
[INFO][2020-11-09 15:05:58,317][java.lang.Class]ch-时间：1604905558317
[INFO][2020-11-09 15:07:12,404][java.lang.Class]ch-时间：1604905632404
[INFO][2020-11-09 15:08:14,566][java.lang.Class]ch-时间：1604905694566
[INFO][2020-11-09 15:09:37,379][java.lang.Class]ch-时间：1604905777379
[INFO][2020-11-09 15:10:20,594][java.lang.Class]ch-时间：1604905820594
[INFO][2020-11-09 15:10:45,584][java.lang.Class]ch-时间：1604905845584
[INFO][2020-11-09 15:11:11,686][java.lang.Class]ch-时间：1604905871686
[INFO][2020-11-09 15:11:42,850][java.lang.Class]ch-时间：1604905902849
[INFO][2020-11-09 15:13:04,133][java.lang.Class]ch-时间：1604905984133
[INFO][2020-11-09 15:14:22,958][java.lang.Class]ch-时间：1604906062958
[INFO][2020-11-09 15:15:43,018][java.lang.Class]ch-时间：1604906143018
[INFO][2020-11-09 15:16:32,676][java.lang.Class]ch-时间：1604906192676
[INFO][2020-11-09 15:18:20,936][java.lang.Class]ch-时间：1604906300936
[INFO][2020-11-10 10:05:33,222][java.lang.Class]xw-开始时间：1604973933222
[INFO][2020-11-10 10:13:00,565][java.lang.Class]xw-结束时间：447343
[INFO][2020-11-10 10:13:56,055][java.lang.Class]ch-开始时间：1604974436054
[INFO][2020-11-10 10:13:56,852][java.lang.Class]ch-时间：1604974436852
[INFO][2020-11-10 10:15:35,905][java.lang.Class]ch-时间：1604974535905
[INFO][2020-11-10 10:17:21,775][java.lang.Class]ch-时间：1604974641775
[INFO][2020-11-10 10:18:33,975][java.lang.Class]ch-时间：1604974713975
[INFO][2020-11-10 10:19:34,808][java.lang.Class]ch-时间：1604974774808
[INFO][2020-11-10 10:20:53,964][java.lang.Class]ch-时间：1604974853964
[INFO][2020-11-10 10:21:36,703][java.lang.Class]ch-时间：1604974896703
[INFO][2020-11-10 10:22:01,118][java.lang.Class]ch-时间：1604974921118
[INFO][2020-11-10 10:22:27,647][java.lang.Class]ch-时间：1604974947647
[INFO][2020-11-10 10:22:57,687][java.lang.Class]ch-时间：1604974977687
[INFO][2020-11-10 10:24:17,545][java.lang.Class]ch-时间：1604975057545
[INFO][2020-11-10 10:25:36,147][java.lang.Class]ch-时间：1604975136147
[INFO][2020-11-10 10:26:56,765][java.lang.Class]ch-时间：1604975216765
[INFO][2020-11-10 10:27:46,702][java.lang.Class]ch-时间：1604975266702
[INFO][2020-11-10 10:29:11,387][java.lang.Class]ch-时间：1604975351387
[INFO][2020-11-10 10:30:44,069][java.lang.Class]ch-时间：1604975444069
[INFO][2020-11-10 10:30:56,303][java.lang.Class]ch-时间：1604975456303
[INFO][2020-11-10 10:30:56,305][java.lang.Class]ch-结束时间：1020251
[INFO][2020-11-20 09:24:17,441][java.lang.Class]ch-开始时间：1605835457440
[INFO][2020-11-20 09:26:45,812][java.lang.Class]ch-开始时间：1605835605812
[INFO][2020-11-20 09:27:15,778][java.lang.Class]ch-开始时间：1605835635777
[INFO][2020-11-20 09:30:25,436][java.lang.Class]ch-开始时间：1605835825435
[INFO][2020-11-20 09:30:26,292][java.lang.Class]ch-时间：1605835826292
[INFO][2020-11-20 09:39:45,148][java.lang.Class]ch-时间：1605836385148
[INFO][2020-11-20 09:39:45,512][java.lang.Class]ch-时间：1605836385512
[INFO][2020-11-20 09:39:45,917][java.lang.Class]ch-时间：1605836385917
[INFO][2020-11-20 09:39:46,341][java.lang.Class]ch-时间：1605836386341
[INFO][2020-11-20 09:39:46,621][java.lang.Class]ch-时间：1605836386621
[INFO][2020-11-20 09:39:46,937][java.lang.Class]ch-时间：1605836386937
[INFO][2020-11-20 09:39:47,311][java.lang.Class]ch-时间：1605836387311
[INFO][2020-11-20 09:39:47,594][java.lang.Class]ch-时间：1605836387594
[INFO][2020-11-20 09:39:47,865][java.lang.Class]ch-时间：1605836387865
[INFO][2020-11-20 09:39:48,163][java.lang.Class]ch-时间：1605836388163
[INFO][2020-11-20 09:39:48,546][java.lang.Class]ch-时间：1605836388546
[INFO][2020-11-20 09:39:48,986][java.lang.Class]ch-时间：1605836388986
[INFO][2020-11-20 09:39:49,390][java.lang.Class]ch-时间：1605836389390
[INFO][2020-11-20 09:39:49,679][java.lang.Class]ch-时间：1605836389678
[INFO][2020-11-20 09:39:50,194][java.lang.Class]ch-时间：1605836390194
[INFO][2020-11-20 09:39:50,223][java.lang.Class]ch-时间：1605836390223
[INFO][2020-11-20 09:39:50,223][java.lang.Class]ch-结束时间：564788
[INFO][2020-11-20 09:46:15,674][java.lang.Class]ch-开始时间：1605836775673
[INFO][2020-11-20 09:46:16,458][java.lang.Class]ch-时间：1605836776458
[INFO][2020-11-20 09:58:13,549][java.lang.Class]ch-时间：1605837493549
[INFO][2020-11-20 10:12:12,383][java.lang.Class]ch-时间：1605838332383
[INFO][2020-11-20 10:21:00,706][java.lang.Class]ch-时间：1605838860706
[INFO][2020-11-20 10:27:24,257][java.lang.Class]ch-时间：1605839244257
[INFO][2020-11-20 10:36:48,782][java.lang.Class]ch-时间：1605839808782
[INFO][2020-11-20 10:40:18,768][java.lang.Class]ch-时间：1605840018768
[INFO][2020-11-20 10:40:43,106][java.lang.Class]ch-时间：1605840043106
[INFO][2020-11-20 10:41:14,247][java.lang.Class]ch-时间：1605840074247
[INFO][2020-11-20 10:42:20,347][java.lang.Class]ch-时间：1605840140347
[INFO][2020-11-20 10:51:30,371][java.lang.Class]ch-时间：1605840690371
[INFO][2020-11-20 10:59:40,096][java.lang.Class]ch-时间：1605841180096
[INFO][2020-11-20 11:06:58,718][java.lang.Class]ch-时间：1605841618718
[INFO][2020-11-20 11:10:10,775][java.lang.Class]ch-时间：1605841810775
[INFO][2020-11-20 11:15:35,058][java.lang.Class]ch-时间：1605842135058
[INFO][2020-11-20 11:18:35,613][java.lang.Class]ch-时间：1605842315613
[INFO][2020-11-20 11:18:44,225][java.lang.Class]ch-时间：1605842324225
[INFO][2020-11-20 11:18:44,226][java.lang.Class]ch-结束时间：5548553
[INFO][2020-11-20 13:25:57,300][java.lang.Class]ch-开始时间：1605849957299
[INFO][2020-11-20 13:25:58,116][java.lang.Class]ch-时间：1605849958116
[INFO][2020-11-20 13:35:57,220][java.lang.Class]ch-时间：1605850557220
[INFO][2020-11-20 13:38:07,744][java.lang.Class]xw-开始时间：1605850687744
[INFO][2020-11-20 13:42:49,766][java.lang.Class]xw-开始时间：1605850969765
[INFO][2020-11-20 13:46:37,038][java.lang.Class]xw-结束时间：227273
[INFO][2020-11-20 13:50:32,496][java.lang.Class]xw-开始时间：1605851432495
[INFO][2020-11-20 14:15:59,428][java.lang.Class]xw-结束时间：1526933
[INFO][2020-11-20 14:20:54,310][java.lang.Class]ch-开始时间：1605853254309
[INFO][2020-11-20 14:20:55,133][java.lang.Class]ch-时间：1605853255133
[INFO][2020-11-20 14:30:33,458][java.lang.Class]ch-时间：1605853833458
[INFO][2020-11-20 14:34:53,958][java.lang.Class]ch-开始时间：1605854093957
[INFO][2020-11-20 14:39:10,238][java.lang.Class]ch-开始时间：1605854350237
[INFO][2020-11-20 15:59:19,659][java.lang.Class]ch-结束时间：4809422
[INFO][2020-12-07 11:27:24,143][java.lang.Class]xw-开始时间：1607311644142
[INFO][2020-12-07 11:29:30,527][java.lang.Class]xw-开始时间：1607311770526
[INFO][2020-12-07 11:59:37,870][java.lang.Class]xw-开始时间：1607313577870
[INFO][2020-12-07 12:00:40,783][java.lang.Class]ch-开始时间：1607313640782
[INFO][2020-12-07 12:02:50,610][java.lang.Class]xw-开始时间：1607313770609
[INFO][2020-12-07 12:03:56,907][java.lang.Class]ch-开始时间：1607313836906
[INFO][2020-12-07 12:06:23,263][java.lang.Class]ch-开始时间：1607313983262
[INFO][2020-12-07 12:06:43,892][java.lang.Class]ch-开始时间：1607314003892
[INFO][2020-12-07 12:12:48,693][java.lang.Class]ch-开始时间：1607314368692
[INFO][2020-12-07 12:14:32,092][java.lang.Class]ch-开始时间：1607314472092
[INFO][2020-12-07 12:22:18,173][java.lang.Class]ch-开始时间：1607314938173
[INFO][2020-12-07 12:24:31,577][java.lang.Class]ch-开始时间：1607315071576
[INFO][2020-12-07 12:31:34,984][java.lang.Class]ch-开始时间：1607315494983
[INFO][2020-12-07 12:34:45,361][java.lang.Class]ch-开始时间：1607315685361
[INFO][2020-12-07 12:35:17,105][java.lang.Class]ch-开始时间：1607315717104
[INFO][2020-12-07 12:41:14,278][java.lang.Class]ch-开始时间：1607316074277
[INFO][2020-12-07 12:42:39,244][java.lang.Class]ch-开始时间：1607316159243
[INFO][2020-12-07 12:43:13,233][java.lang.Class]ch-开始时间：1607316193232
[INFO][2020-12-07 12:45:38,868][java.lang.Class]ch-开始时间：1607316338867
[INFO][2020-12-07 12:49:45,818][java.lang.Class]ch-开始时间：1607316585817
[INFO][2020-12-07 12:50:16,707][java.lang.Class]ch-开始时间：1607316616706
[INFO][2020-12-07 12:50:40,075][java.lang.Class]ch-开始时间：1607316640074
[INFO][2020-12-07 13:02:50,199][java.lang.Class]ch-开始时间：1607317370199
[INFO][2020-12-07 13:04:00,524][java.lang.Class]ch-开始时间：1607317440524
[INFO][2020-12-07 13:08:25,732][java.lang.Class]ch-开始时间：1607317705732
[INFO][2020-12-07 13:20:08,027][java.lang.Class]ch-开始时间：1607318408027
[INFO][2020-12-07 13:21:22,359][java.lang.Class]ch-开始时间：1607318482358
[INFO][2020-12-07 13:23:17,672][java.lang.Class]ch-开始时间：1607318597671
[INFO][2020-12-07 13:26:25,135][java.lang.Class]ch-开始时间：1607318785135
[INFO][2020-12-07 13:34:19,777][java.lang.Class]ch-开始时间：1607319259777
[INFO][2020-12-07 13:37:38,683][java.lang.Class]ch-开始时间：1607319458682
[INFO][2020-12-07 13:38:06,300][java.lang.Class]ch-开始时间：1607319486300
[INFO][2020-12-07 13:40:56,837][java.lang.Class]ch-开始时间：1607319656837
[INFO][2020-12-07 13:43:05,745][java.lang.Class]ch-开始时间：1607319785744
[INFO][2020-12-07 13:43:55,586][java.lang.Class]ch-开始时间：1607319835585
[INFO][2020-12-07 13:44:03,844][java.lang.Class]ch-开始时间：1607319843844
[INFO][2020-12-07 13:44:51,890][java.lang.Class]ch-开始时间：1607319891889
[INFO][2020-12-07 13:52:17,293][java.lang.Class]ch-开始时间：1607320337293
[INFO][2020-12-07 14:00:22,568][java.lang.Class]开始时间：1607320822568
[INFO][2020-12-07 14:01:55,101][java.lang.Class]开始时间：1607320915101
[INFO][2020-12-07 14:02:39,930][java.lang.Class]开始时间：1607320959930
[INFO][2020-12-07 14:04:47,885][java.lang.Class]开始时间：1607321087885
[INFO][2020-12-07 14:08:56,888][java.lang.Class]开始时间：1607321336872
[INFO][2020-12-07 14:13:19,679][java.lang.Class]xw-开始时间：1607321599679
[INFO][2020-12-07 14:13:45,570][java.lang.Class]bib-xw-sql结束时间：25891
[INFO][2020-12-07 14:15:32,423][java.lang.Class]xw-开始时间：1607321732422
[INFO][2020-12-07 14:15:38,309][java.lang.Class]bib-xw-sql结束时间：5887
[INFO][2020-12-07 14:17:20,035][java.lang.Class]xw-开始时间：1607321840034
[INFO][2020-12-07 14:17:26,107][java.lang.Class]bib-xw-sql结束时间：6072
[INFO][2020-12-07 14:17:47,142][java.lang.Class]xw-开始时间：1607321867141
[INFO][2020-12-07 14:17:53,162][java.lang.Class]bib-xw-sql结束时间：6021
[INFO][2020-12-07 14:18:36,184][java.lang.Class]xw-开始时间：1607321916184
[INFO][2020-12-07 14:18:42,172][java.lang.Class]bib-xw-sql结束时间：5987
[INFO][2020-12-07 14:22:05,064][java.lang.Class]xw-开始时间：1607322124652
[INFO][2020-12-07 14:22:12,989][java.lang.Class]bib-xw-sql结束时间：8326
[INFO][2020-12-07 14:53:16,788][java.lang.Class]xw-开始时间：1607323996788
[INFO][2020-12-07 14:53:22,702][java.lang.Class]bib-xw-sql结束时间：5914
[INFO][2020-12-07 14:54:30,168][java.lang.Class]xw-开始时间：1607324070167
[INFO][2020-12-07 14:54:36,062][java.lang.Class]bib-xw-sql结束时间：5895
[INFO][2020-12-07 14:59:16,152][java.lang.Class]xw-开始时间：1607324356151
[INFO][2020-12-07 14:59:21,904][java.lang.Class]bib-xw-sql结束时间：5753
[INFO][2020-12-07 15:01:04,863][java.lang.Class]xw-结束时间：108712
[INFO][2020-12-07 15:01:40,494][java.lang.Class]xw-开始时间：1607324500494
[INFO][2020-12-07 15:03:50,325][java.lang.Class]xw-开始时间：1607324630325
[INFO][2020-12-07 15:06:52,750][java.lang.Class]xw-开始时间：1607324812750
[INFO][2020-12-07 15:06:56,586][java.lang.Class]
[INFO][2020-12-07 15:06:57,122][java.lang.Class]
[INFO][2020-12-07 15:06:58,185][java.lang.Class]
[INFO][2020-12-07 15:06:58,327][java.lang.Class]
[INFO][2020-12-07 15:06:58,381][java.lang.Class]
[INFO][2020-12-07 15:06:58,579][java.lang.Class]
[INFO][2020-12-07 15:06:59,093][java.lang.Class]
[INFO][2020-12-07 15:07:01,270][java.lang.Class]
[INFO][2020-12-07 15:07:03,483][java.lang.Class]
[INFO][2020-12-07 15:07:04,277][java.lang.Class]
[INFO][2020-12-07 15:07:11,399][java.lang.Class]
[INFO][2020-12-07 15:07:16,268][java.lang.Class]
[INFO][2020-12-07 15:07:18,757][java.lang.Class]
[INFO][2020-12-07 15:07:19,910][java.lang.Class]
[INFO][2020-12-07 15:07:20,080][java.lang.Class]
[INFO][2020-12-07 15:07:20,604][java.lang.Class]
[INFO][2020-12-07 15:07:39,529][java.lang.Class]xw-开始时间：1607324859528
[INFO][2020-12-07 15:07:43,344][java.lang.Class]
[INFO][2020-12-07 15:07:43,872][java.lang.Class]
[INFO][2020-12-07 15:07:44,928][java.lang.Class]
[INFO][2020-12-07 15:07:45,074][java.lang.Class]
[INFO][2020-12-07 15:07:45,132][java.lang.Class]
[INFO][2020-12-07 15:09:08,872][java.lang.Class]xw-开始时间：1607324948871
[INFO][2020-12-07 15:09:12,714][java.lang.Class]
[INFO][2020-12-07 15:09:13,233][java.lang.Class]
[INFO][2020-12-07 15:09:14,345][java.lang.Class]
[INFO][2020-12-07 15:09:14,497][java.lang.Class]
[INFO][2020-12-07 15:09:14,550][java.lang.Class]
[INFO][2020-12-07 15:09:14,723][java.lang.Class]
[INFO][2020-12-07 15:09:27,318][java.lang.Class]xw-开始时间：1607324967318
[INFO][2020-12-07 15:10:08,146][java.lang.Class]xw-开始时间：1607325008145
[INFO][2020-12-07 15:10:23,019][java.lang.Class]xw-开始时间：1607325023018
[INFO][2020-12-07 15:12:34,549][java.lang.Class]xw-开始时间：1607325154549
[INFO][2020-12-07 15:14:32,719][java.lang.Class]ch-开始时间：1607325272719
[INFO][2020-12-07 15:14:58,363][java.lang.Class]Коммерсантъ, деньги--------42645
[INFO][2020-12-07 15:14:58,364][java.lang.Class]Коммерсантъ, деньги
[INFO][2020-12-07 15:14:58,364][java.lang.Class]2005,1;
[INFO][2020-12-07 15:14:58,364][java.lang.Class]2005,42;547
[INFO][2020-12-07 15:17:08,099][java.lang.Class]xw-开始时间：1607325428098
[INFO][2020-12-07 15:17:48,998][java.lang.Class]开始时间：1607325468997
[INFO][2020-12-07 15:18:17,585][java.lang.Class]开始时间：1607325497584
[INFO][2020-12-07 15:21:21,708][java.lang.Class]xw-开始时间：1607325681707
[INFO][2020-12-07 15:24:57,687][java.lang.Class]xw-开始时间：1607325897687
[INFO][2020-12-07 15:27:29,873][java.lang.Class]xw-结束时间：152186
[INFO][2020-12-07 15:30:55,160][java.lang.Class]bib-sql结束时间：757576
[INFO][2020-12-07 15:37:11,021][java.lang.Class]结束时间：1133437
[INFO][2020-12-07 15:59:17,311][java.lang.Class]xw-开始时间：1607327957311
[INFO][2020-12-07 16:01:37,548][java.lang.Class]xw-开始时间：1607328097548
[INFO][2020-12-07 16:04:04,670][java.lang.Class]xw-结束时间：147122
[INFO][2020-12-07 16:06:30,648][java.lang.Class]ch-开始时间：1607328390647
[INFO][2020-12-07 16:08:16,471][java.lang.Class]ch-开始时间：1607328496470
[INFO][2020-12-07 16:11:16,362][java.lang.Class]ch-开始时间：1607328676362
[INFO][2020-12-07 16:24:19,614][java.lang.Class]ch-结束时间：783252
